POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,1783.5246,4796.1669,3248.6119,0.0,0.0,0.0,-4790.6603,-19834.0845,2085.012,22944.1342,-2722.3209,121.8366,0.0,10232.704800000001,-2600.4843,7632.2205
1,1844.7748,4799.2659,3245.5464,0.0,0.0,0.0,-4793.2263,-19885.0727,2097.3328,22916.073,-2686.2189,120.8731,0.0,10224.6939,-2565.3458,7659.3481
2,1830.9063,4892.5869,3255.1472,0.0,0.0,0.0,-4844.2491,-19752.2555,2140.6946,22954.3275,-2800.6472,122.7077,0.0,10477.157899999998,-2677.9395,7799.218399999999
3,1816.5722,4872.4401,3221.4059,0.0,0.0,0.0,-4798.0987,-19809.3566,2087.16,22801.7392,-2721.5801,122.3588,0.0,10191.862100000002,-2599.2213,7592.640800000002
4,1741.0721,4742.2932,3299.4556,0.0,0.0,0.0,-4851.264,-19927.5027,2098.2409,23000.49,-2648.8159,121.8703,0.0,10102.785100000001,-2526.9456,7575.839500000001
5,1801.5141,4739.2163,3198.3266,0.0,0.0,0.0,-4812.0032,-19907.0668,2106.6755,22995.4421,-2688.8392,121.9177,0.0,10122.1046,-2566.9215,7555.1831
6,1870.023,4851.318,3234.179,0.0,0.0,0.0,-4804.9064,-19840.148,2059.2446,22879.9376,-2694.1007,119.9431,0.0,10249.6478,-2574.1576,7675.490200000001
7,1799.3537,4842.698,3233.4887,0.0,0.0,0.0,-4827.0137,-19883.6981,2063.347,22960.79,-2709.9311,123.4287,0.0,10188.965599999998,-2586.5024,7602.463199999998
8,1826.8849,4745.6846,3273.191,0.0,0.0,0.0,-4852.1957,-19883.2689,2104.8243,23013.5796,-2703.958,121.2042,0.0,10228.699800000002,-2582.7538,7645.946000000002
9,1850.4573,4808.9224,3215.3789,0.0,0.0,0.0,-4800.1958,-19851.9776,2063.6918,22889.4761,-2700.6778,123.9869,0.0,10175.753100000002,-2576.6909,7599.062200000002
10,1770.7681,4772.6559,3199.3083,0.0,0.0,0.0,-4808.2948,-19781.617,2106.8724,22959.4583,-2781.907,122.8685,0.0,10219.1512,-2659.0385,7560.1127
11,1757.0877,4906.4011,3217.5763,0.0,0.0,0.0,-4787.852,-19753.4874,2086.6813,22946.2376,-2797.8824,123.232,0.0,10372.6446,-2674.6504,7697.994199999999
12,1782.8769,4837.6021,3259.9786,0.0,0.0,0.0,-4804.8286,-19829.3768,2086.2007,22819.0857,-2717.2624,123.9854,0.0,10151.538600000002,-2593.277,7558.261600000002
13,1857.9185,4817.6747,3243.947,0.0,0.0,0.0,-4824.8611,-19837.7663,2126.8746,22938.552,-2741.964,123.7302,0.0,10322.3394,-2618.2338,7704.105600000001
14,1867.3448,4751.9201,3250.9642,0.0,0.0,0.0,-4880.2141,-19881.4486,2094.6442,22859.1488,-2633.362,122.1216,0.0,10062.3594,-2511.2404,7551.119
15,1899.0196,4814.7868,3207.7443,0.0,0.0,0.0,-4858.1015,-19954.48,2067.3213,23008.1665,-2639.0829,120.3632,0.0,10184.456999999999,-2518.7196999999996,7665.737299999999
16,1848.4558,4729.5863,3282.1402,0.0,0.0,0.0,-4801.2519,-19924.6804,2106.0208,22950.8113,-2656.4053,120.015,0.0,10191.082100000001,-2536.3903,7654.691800000001
17,1835.4648,4880.8369,3247.3362,0.0,0.0,0.0,-4828.3186,-19869.6175,2100.4596,22875.1604,-2637.8983,122.1409,0.0,10241.3218,-2515.7574,7725.5644
18,1780.2476,4798.1818,3300.1369,0.0,0.0,0.0,-4865.7139,-19917.1981,2096.0918,22954.4808,-2679.04,121.571,0.0,10146.2269,-2557.469,7588.7579
19,1801.5372,4707.2528,3268.3486,0.0,0.0,0.0,-4848.3063,-19931.3547,2109.745,22909.0351,-2620.5697,121.5667,0.0,10016.257700000002,-2499.003,7517.254700000002
20,1753.4322,4813.0487,3314.3786,0.0,0.0,0.0,-4845.4306,-19938.4875,2103.2926,22954.7995,-2640.1443,122.9217,0.0,10155.033500000003,-2517.2226,7637.810900000003
21,1761.8947,4685.2432,3279.1006,0.0,0.0,0.0,-4832.7167,-19895.3422,2135.8418,23015.7363,-2706.1692,121.1157,0.0,10149.7577,-2585.0535,7564.7042
22,1795.8146,4852.6134,3201.8134,0.0,0.0,0.0,-4788.3599,-19916.3258,2074.2115,22869.4809,-2651.0189,122.0109,0.0,10089.248099999999,-2529.008,7560.240099999999
23,1810.1013,4843.7314,3260.1534,0.0,0.0,0.0,-4822.4961,-19919.6744,2129.602,22969.8511,-2661.1581,122.664,0.0,10271.2687,-2538.4941,7732.7746
24,1841.2153,4771.918,3304.3538,0.0,0.0,0.0,-4748.6717,-19992.3295,2093.3529,22955.0894,-2652.0662,123.1587,0.0,10224.9282,-2528.9075000000003,7696.0207
25,1789.4736,4852.4458,3276.5619,0.0,0.0,0.0,-4804.8573,-19880.5492,2111.0394,22925.5753,-2701.7405,121.4439,0.0,10269.6895,-2580.2965999999997,7689.392900000001
26,1830.2593,4810.1013,3268.2516,0.0,0.0,0.0,-4834.8648,-19883.1441,2089.0422,22905.2407,-2689.1965,122.9129,0.0,10184.886199999997,-2566.2836,7618.602599999997
27,1856.8566,4822.2912,3247.6275,0.0,0.0,0.0,-4771.151,-19919.5131,2072.614,22862.1294,-2694.1064,122.4426,0.0,10170.8546,-2571.6638000000003,7599.1908
28,1801.9879,4721.3234,3242.5901,0.0,0.0,0.0,-4802.986,-19921.5802,2135.2256,22946.6667,-2667.1415,122.7367,0.0,10123.227500000003,-2544.4048000000003,7578.822700000003
29,1801.6202,4897.6675,3276.7925,0.0,0.0,0.0,-4821.5895,-19927.6076,2122.2468,22970.3795,-2702.6657,122.8685,0.0,10319.509399999999,-2579.7972,7739.712199999999
30,1803.8566,4818.0148,3231.4628,0.0,0.0,0.0,-4838.7141,-19922.382,2076.2701,23072.2619,-2697.3672,120.7773,0.0,10240.7701,-2576.5899,7664.180199999999
31,1783.9751,4866.5736,3237.9743,0.0,0.0,0.0,-4805.9662,-19932.1852,2104.328,23102.389,-2732.0543,122.0055,0.0,10357.088599999997,-2610.0487999999996,7747.039799999998
32,1803.4835,4853.3398,3230.7405,0.0,0.0,0.0,-4809.5728,-19887.1971,2090.6996,23041.7229,-2734.7228,120.9579,0.0,10323.2164,-2613.7649,7709.4515
33,1830.8315,4714.1671,3242.591,0.0,0.0,0.0,-4826.0712,-19992.6382,2118.2126,22999.6018,-2653.3328,120.1438,0.0,10086.694599999999,-2533.1890000000003,7553.505599999999
34,1775.7427,4897.9921,3276.8721,0.0,0.0,0.0,-4850.98,-19938.1608,2088.3315,23015.2245,-2707.9836,121.7581,0.0,10265.0221,-2586.2255,7678.796600000001
35,1851.4171,4758.0451,3312.026,0.0,0.0,0.0,-4816.5392,-19931.0482,2127.6762,23072.504,-2739.779,124.4104,0.0,10374.081,-2615.3686,7758.712399999999
36,1816.5785,4809.4208,3278.564,0.0,0.0,0.0,-4846.3434,-19857.2728,2095.7759,22968.7118,-2749.1429,122.5523,0.0,10265.434800000003,-2626.5906,7638.844200000003
37,1736.7102,4847.5648,3254.2913,0.0,0.0,0.0,-4800.2743,-19960.8776,2105.3665,23026.761,-2718.7969,124.0934,0.0,10209.541899999997,-2594.7034999999996,7614.838399999997
38,1797.4644,4862.9965,3275.8745,0.0,0.0,0.0,-4864.0664,-19974.5502,2093.9715,22935.8075,-2618.6461,120.1728,0.0,10127.497799999997,-2498.4733,7629.024499999998
39,1802.2926,4749.1194,3241.9952,0.0,0.0,0.0,-4806.6734,-20027.6774,2105.9751,23081.9502,-2662.2409,121.1843,0.0,10146.981699999998,-2541.0566,7605.925099999999
40,1820.1609,4932.7954,3194.0645,0.0,0.0,0.0,-4811.4478,-19863.4541,2076.999,22909.7006,-2711.3057,123.5761,0.0,10258.818500000001,-2587.7295999999997,7671.088900000002
41,1826.317,4841.817,3248.519,0.0,0.0,0.0,-4811.1247,-20031.9935,2114.9801,23101.5771,-2655.4087,120.577,0.0,10290.091999999999,-2534.8316999999997,7755.260299999999
42,1836.2583,4884.6749,3221.8064,0.0,0.0,0.0,-4829.0712,-19752.7182,2064.0632,22824.9967,-2770.249,123.8105,0.0,10250.0101,-2646.4384999999997,7603.571599999999
43,1823.7439,4820.0061,3274.0344,0.0,0.0,0.0,-4746.9922,-19908.6421,2108.6893,22924.0286,-2686.4743,121.5432,0.0,10294.868,-2564.9311,7729.936900000001
44,1790.7069,4843.3112,3230.6418,0.0,0.0,0.0,-4793.5231,-19879.2323,2055.499,22981.3861,-2741.5481,123.524,0.0,10228.7896,-2618.0241,7610.7655
45,1845.4951,4781.7327,3259.0927,0.0,0.0,0.0,-4809.5323,-19914.1604,2084.4474,22977.6266,-2687.353,123.9979,0.0,10224.701799999999,-2563.3551,7661.346699999999
46,1844.3037,4690.4425,3259.0757,0.0,0.0,0.0,-4794.7069,-19955.3705,2119.5325,23026.2145,-2674.5295,121.7331,0.0,10189.491499999995,-2552.7964,7636.695099999994
47,1845.806,4675.8412,3259.6285,0.0,0.0,0.0,-4816.8094,-19866.5128,2107.0866,22983.8735,-2715.0165,122.1925,0.0,10188.9136,-2592.824,7596.0896
48,1805.7998,4662.2359,3220.7881,0.0,0.0,0.0,-4811.4231,-19978.7173,2097.7345,23021.4509,-2661.7283,123.8529,0.0,10017.8688,-2537.8754000000004,7479.993399999999
49,1797.7281,4781.7662,3242.892,0.0,0.0,0.0,-4788.3665,-19835.0583,2099.9295,22943.9733,-2708.5303,124.0072,0.0,10242.864300000001,-2584.5231,7658.341200000001
50,1848.4878,4776.291,3193.886,0.0,0.0,0.0,-4783.4691,-19768.3365,2085.7601,23008.6901,-2828.7848,123.2857,0.0,10361.309399999998,-2705.4991,7655.810299999999
51,1840.9962,4791.7594,3231.8214,0.0,0.0,0.0,-4815.8671,-19865.6856,2085.8033,23016.4332,-2725.4683,122.7773,0.0,10285.2608,-2602.691,7682.569799999999
52,1779.5252,4765.4166,3220.3169,0.0,0.0,0.0,-4771.0837,-19882.3133,2101.6221,22979.0235,-2694.402,122.5667,0.0,10192.507299999997,-2571.8353,7620.671999999998
53,1810.0706,4659.4776,3247.319,0.0,0.0,0.0,-4791.4722,-19999.2851,2101.1067,23073.6418,-2643.8799,121.5686,0.0,10100.858400000001,-2522.3113,7578.547100000001
54,1787.8537,4775.9835,3231.0567,0.0,0.0,0.0,-4781.8685,-19926.5908,2117.2236,22983.0573,-2678.6287,121.5201,0.0,10186.715499999997,-2557.1086,7629.606899999996
55,1838.2303,4847.8706,3261.6327,0.0,0.0,0.0,-4817.5514,-19975.534,2040.7067,22965.2843,-2618.723,122.7967,0.0,10160.6392,-2495.9263,7664.7128999999995
56,1772.973,4768.0743,3305.7052,0.0,0.0,0.0,-4796.5736,-19982.5889,2086.0712,22959.0697,-2631.0176,121.7624,0.0,10112.730900000002,-2509.2552,7603.475700000002
57,1839.0812,4881.0329,3241.6092,0.0,0.0,0.0,-4780.2893,-19959.3758,2081.0008,22931.4719,-2656.8151,123.1528,0.0,10234.5309,-2533.6623,7700.8686
58,1854.2156,4840.7665,3286.3177,0.0,0.0,0.0,-4784.4155,-19979.2015,2099.248,23008.0887,-2662.4523,121.8127,0.0,10325.019499999999,-2540.6396,7784.379899999999
59,1829.3476,4784.5578,3260.2936,0.0,0.0,0.0,-4776.5985,-19951.2456,2123.2434,23005.1103,-2681.7658,124.0948,0.0,10274.708600000002,-2557.6710000000003,7717.0376000000015
60,1874.6268,4803.141,3292.8243,0.0,0.0,0.0,-4776.9001,-19884.7912,2097.3279,22987.6542,-2741.2849,124.3392,0.0,10393.8829,-2616.9457,7776.9372
61,1821.0934,4765.0403,3208.1574,0.0,0.0,0.0,-4802.1391,-19933.1511,2085.515,22982.4966,-2652.3873,121.8055,0.0,10127.012499999997,-2530.5818,7596.430699999997
62,1849.329,4889.3178,3250.8551,0.0,0.0,0.0,-4862.0377,-19873.1999,2063.3363,22890.4373,-2692.2594,122.4131,0.0,10208.0379,-2569.8462999999997,7638.191599999999
63,1807.6441,4819.2078,3255.0736,0.0,0.0,0.0,-4781.8129,-19990.4569,2112.1045,22947.1885,-2652.4819,123.1059,0.0,10168.948699999999,-2529.376,7639.572699999998
64,1794.3058,4727.2847,3273.1733,0.0,0.0,0.0,-4747.6538,-20084.2532,2076.258,22999.2597,-2601.2919,122.7042,0.0,10038.3745,-2478.5877,7559.7868
65,1800.0585,4784.817,3308.806,0.0,0.0,0.0,-4817.0861,-19892.3353,2071.0348,22939.7563,-2703.5425,122.223,0.0,10195.051200000002,-2581.3195,7613.731700000002
66,1812.7455,4882.0268,3229.3859,0.0,0.0,0.0,-4782.5202,-19938.3804,2076.3615,22961.9448,-2653.3809,122.6319,0.0,10241.563900000001,-2530.7490000000003,7710.814900000001
67,1814.143,4818.2405,3246.7932,0.0,0.0,0.0,-4776.7555,-19930.6854,2101.4237,23000.4024,-2715.6273,122.0749,0.0,10273.5619,-2593.5524,7680.0095
68,1793.8271,4780.6246,3234.9706,0.0,0.0,0.0,-4808.2186,-19927.0324,2105.8459,23025.2881,-2703.6703,124.3404,0.0,10205.305300000002,-2579.3299,7625.975400000002
69,1802.5754,4835.4293,3304.5081,0.0,0.0,0.0,-4764.0905,-19904.4633,2108.5517,23020.5108,-2765.9487,122.8075,0.0,10403.0215,-2643.1412,7759.880300000001
70,1802.8726,4764.9267,3219.5374,0.0,0.0,0.0,-4773.9256,-19926.6846,2101.8014,23024.4347,-2699.2323,122.3503,0.0,10212.962600000003,-2576.882,7636.080600000003
71,1718.101,4763.179,3272.29,0.0,0.0,0.0,-4796.2876,-19931.8186,2076.4573,23044.3846,-2683.5339,121.3377,0.0,10146.305700000003,-2562.1962,7584.109500000002
72,1815.492,4847.4582,3315.7977,0.0,0.0,0.0,-4797.3747,-20021.6504,2093.0452,22993.1803,-2621.1196,121.5606,0.0,10245.948300000002,-2499.559,7746.389300000002
73,1731.7986,4724.8084,3237.4281,0.0,0.0,0.0,-4788.5686,-19896.5251,2098.0792,23065.383,-2737.4811,122.269,0.0,10172.403600000005,-2615.2120999999997,7557.191500000005
74,1837.0311,4878.0751,3256.2922,0.0,0.0,0.0,-4820.3003,-19884.7775,2098.3816,23036.4595,-2727.652,122.2805,0.0,10401.1617,-2605.3715,7795.7902
